旧值	新值	频率
标注区分能力	标注关键信息	1
标注区域化评分和贸易量	标注评分	1
标注区域名	标注实体名	2
标注区域和免疫评分	标注评分	1
标注区域和分子差异	标注差异	1
标注区域和密度	标注趋势特征	1
标注区域和表达水平	标注关键信息	1
标注区域均值	标注关键信息	2
标注区域对比	标注关键信息	1
标注区域差异	标注差异	5
标注区域差距	标注差异	2
标注区域平均	标注关键信息	1
标注区域平均线	标注参考线	2
标注区域排名	标注排名	1
标注区域特点	标注关键信息	1
标注医学增长	标注关键信息	1
标注医生水平线	标注关键信息	1
标注十亿	标注数值	1
标注十年前的位置对比	标注关键信息	1
标注十年变化箭头	标注关键信息	1
标注十年均值	标注关键信息	1
标注十年均值线	标注关键信息	1
标注十年缩减率	标注关键信息	1
标注千万人口阈值线	标注数值	1
标注千年目标线	标注参考线	1
标注千禧一代对比线	标注关键信息	1
标注升温幅度	标注关键信息	1
标注升温幅度和最快年代	标注关键信息	1
标注升级方向	标注关键信息	1
标注升降幅度	标注增长率	1
标注半衰期和	标注关键信息	1
标注半衰期和释放率	标注关键信息	1
标注协作关系	标注关键信息	1
标注协作分	标注关键信息	1
标注协同	标注数值	2
标注协同关系	标注关键信息	1
标注协同发展目标	标注关键信息	1
标注协同指数和生存获益	标注评分	1
标注协同效应	标注关键信息	1
标注协同机制	标注关键信息	1
标注协同机制和评分	标注评分	1
标注协同来源	标注关键信息	1
标注协同目标	标注关键信息	1
标注协同评分	标注评分	1
标注协同评分和机制	标注评分	1
标注协同评分和靶基因	标注评分	1
标注协同金额	标注数值	1
标注协定里程碑	标注阶段	1
标注协议评分	标注评分	1
标注协议风险事件	标注事件	1
标注单价+涨幅	标注关键信息	1
标注单均成本下降幅度	标注增长率	1
标注单细胞成本和基因检出数	标注关键信息	1
标注单部成本	标注关键信息	1
标注占GDP比重	标注占比	2
标注占全国比重	标注关键信息	1
标注占比	标注占比	15
标注占比%	标注占比	12
标注占比+ARPU	标注占比	1
标注占比+YoY	标注增长率	1
标注占比+变化	标注占比	1
标注占比+含义	标注占比	1
标注占比+增速	标注增长率	3
标注占比+排名	标注排名	1
标注占比+趋势	标注占比	1
标注占比+金额	标注金额占比	1
标注占比变化	标注占比	15
标注占比和十年变化	标注占比	1
标注占比和同比变化	标注增长率	1
标注占比和增速	标注增长率	1
标注占比和差距	标注差异	1
标注占比和年份	标注占比	1
标注占比和年增长	标注占比	1
标注占比和年度变化	标注增长率	1
标注占比和数量	标注金额占比	1
标注占比和新型终端增长	标注占比	1
标注占比拐点	标注占比	1
标注占比排名	标注排名	1
标注占用率和药物浓度	标注关键信息	1
标注卡脖子环节	标注阶段	1
标注危机/复苏	标注事件	1
标注危机事件	标注事件	1
标注危机事件时间点	标注事件	1
标注危机最严重国家和人口数	标注事件	1
标注危机流域	标注事件	1
标注危机级别	标注事件	1
标注危险阈值	标注关键信息	1
标注厂商	标注实体名	2
标注厂商名	标注实体名	1
标注厂商名和位置	标注实体名	1
标注厄尔尼诺关联	标注关键信息	1
标注历史事件	标注事件	1
标注历史意义	标注关键信息	2
标注历史最低点	标注关键信息	1
标注压力情景	标注关键信息	1
标注压力指数和恢复力	标注评分	1
标注压力最高国家和百分比	标注占比	1
标注压缩空间	标注关键信息	2
标注去中心化	标注关键信息	1
标注去产能目标	标注关键信息	1
标注去杠杆阶段	标注阶段	1
标注参与模式	标注关键信息	1
标注参与率%	标注占比	1
标注参与量	标注关键信息	1
标注参与银行数	标注关键信息	1
标注参数交互	标注关键信息	1
标注参数量和得分	标注评分	1
标注参数量级突破	标注数值	1
标注参观模式	标注关键信息	1
标注及格线	标注关键信息	1
标注双减政策时间点	标注事件	1
标注双十一峰值	标注趋势特征	1
标注双碳目标	标注关键信息	1
标注双碳目标线	标注参考线	2
标注双赢目的地	标注关键信息	1
标注反垄断阈值线	标注关键信息	1
标注反应倍数	标注效率	1
标注反应条件	标注关键信息	1
标注反应步骤	标注阶段	1
标注发射次数和载荷	标注关键信息	1
标注发射能力	标注关键信息	1
标注发展差距	标注差异	2
标注发展指数	标注评分	2
标注发展模式	标注关键信息	1
标注发展瓶颈	标注关键信息	1
标注发展路径	标注阶段	2
标注发展阶段拐点	标注阶段	1
标注发布事件	标注事件	1
标注发布数	标注关键信息	1
标注发现者和年份	标注驱动因素	1
标注发现趋势	标注驱动因素	1
标注发现顺序	标注驱动因素	1
标注发球策略	标注象限策略	1
标注发生率和严重程度	标注关键信息	1
标注发生率和风险因素	标注风险	1
标注发育阶段和标记基因	标注阶段	1
标注发行额和增速	标注增长率	1
标注发表偏倚	标注关键信息	1
标注取水量和生态影响	标注关键信息	1
标注受众特征	标注关键信息	1
标注受影响人口	标注数值	2
标注受影响岗位比例	标注占比	1
标注受损维度	标注维度评分	1
标注受灾人口	标注数值	1
标注受益群体	标注关键信息	1
标注受胁比例	标注占比	1
标注受阻率	标注关键信息	1
标注变动	标注数值	1
标注变动金额	标注数值	1
标注变化	标注数值	3
标注变化%	标注占比	1
标注变化原因	标注驱动因素	1
标注变化幅度	标注差异	4
标注变化故事	标注关键信息	1
标注变化方向	标注关键信息	1
标注变化最大的区域和数值	标注趋势特征	1
标注变化点数	标注关键信息	1
标注变化率	标注增长率	1
标注变化类型	标注关键信息	1
标注变化趋势	标注增长率	2
标注变化驱动	标注驱动因素	1
标注变异系数	标注关键信息	1
标注变形含义	标注关键信息	1
标注变暖速率	标注关键信息	1
标注变更模式	标注关键信息	1
标注变革门槛	标注关键信息	1
标注叙事点	标注关键信息	1
标注叙事节奏	标注关键信息	1
标注叙事节点	标注阶段	1
标注叫好不叫座	标注关键信息	1
标注叫好不叫座区	标注关键信息	1
标注可优化环节	标注阶段	1
标注可克服因素标记	标注驱动因素	1
标注可及性差异	标注差异	1
标注可塑性评分和阶段	标注评分	1
标注可复用火箭节点	标注阶段	1
标注可复用节省	标注关键信息	1
标注可持续上限	标注关键信息	1
标注可持续性	标注关键信息	1
标注可持续性判断	标注关键信息	1
标注可持续水平线	标注关键信息	1
标注可持续状态	标注关键信息	1
标注可持续膳食建议	标注驱动因素	1
标注可持续进度	标注关键信息	1
标注可控vs不可控	标注关键信息	1
标注可控vs不可控分组	标注象限策略	1
标注可控vs不可控因素分界	标注驱动因素	1
标注可控因素标记	标注驱动因素	1
标注可改造项	标注关键信息	1
标注可比性接受标准	标注关键信息	1
标注可维持年数	标注关键信息	1
标注可观测分	标注关键信息	1
标注可规模化条件	标注关键信息	1
标注可负担阈值线	标注关键信息	2
标注可避免损失	标注关键信息	1
标注可预防比例	标注占比	1
标注台数和%	标注占比	1
标注各	标注数值	1
标注各BG收入和增速	标注规模增速	1
标注各业务增速	标注增长率	1
标注各中心	标注关键信息	1
标注各中心权重	标注关键信息	1
标注各事件发生率	标注事件	1
标注各事件发生率和随访时间	标注事件	1
标注各亚组性能差异	标注差异	1
标注各代峰值年	标注趋势特征	1
标注各候选药物位置	标注关键信息	1
标注各免疫分型比例和预后	标注占比	1
标注各力强度	标注关键信息	1
标注各区间时长	标注关键信息	1
标注各厂商L级	标注实体名	1
标注各厂商份额和增速	标注规模增速	1
标注各厂商位置	标注实体名	1
标注各厂商位置变化	标注实体名	1
标注各厂商得分	标注评分	1
标注各品牌份额和增速	标注规模增速	1
标注各品牌店数和增速	标注增长率	1
标注各品牌最强维度	标注维度评分	1
标注各品类GMV和增速	标注增长率	1
标注各品类成交额	标注因素金额	1
标注各品类规模和增速	标注规模增速	1
标注各因子暴露百分比	标注占比	1
标注各因素名称	标注驱动因素	3
标注各因素权重	标注驱动因素	2
标注各因素金额和占比	标注金额占比	1
标注各国中位数和IQR	标注参考线	1
标注各国优势技术领域	标注关键信息	1
标注各国医疗支出占比	标注占比	1
标注各国对比	标注关键信息	1
标注各国报告数据和模型调整	标注关键信息	1
标注各国排名	标注排名	1
标注各国数字经济百分比	标注占比	1
标注各国数量	标注数值	1
标注各国数量和阶段	标注阶段	1
标注各国文化偏好差异	标注差异	1
标注各国普及率和收入组	标注关键信息	1
标注各国最弱维度	标注维度评分	1
标注各国最强技能维度	标注维度评分	1
标注各国渗透率	标注占比	1
标注各国满意率	标注关键信息	1
标注各国百分比和全球均值	标注占比	1
标注各国禁燃时间表	标注关键信息	1
标注各国股权占比差异	标注差异	1
标注各国覆盖率和目标差距	标注差异	1
标注各国财富总额	标注关键信息	1
标注各国高净值人数和增速	标注增长率	1
标注各地区Top技能	标注关键信息	1
标注各地区占比变化	标注占比	1
标注各地区占比和增长趋势	标注占比	1
标注各地区配置比例	标注占比	1
标注各城市	标注实体名	1
标注各学科FC值	标注关键信息	1
标注各层	标注阶段	2
标注各层价格	标注阶段	1
标注各层比例	标注占比	1
标注各层特征	标注阶段	1
标注各层目标	标注阶段	1
标注各层级名称	标注阶段	1
标注各层能力	标注阶段	1
标注各层财富占比	标注占比	1
标注各层障碍	标注阶段	1
标注各层面收入占比	标注金额占比	1
标注各属性可比性评分	标注评分	1
标注各州空缺数和增长率	标注增长率	1
标注各工艺参数	标注关键信息	1
标注各工艺验证指标	标注关键信息	1
标注各市场店数和同店增长	标注关键信息	1
标注各干预的	标注事件	1
标注各平台占比	标注占比	1
标注各应力条件下的降解率	标注关键信息	1
